"cty","Name","Fraction_Non-White_in_2010"
"cty72039","Ciales Municipio, PR",0.998
"cty72073","Jayuya Municipio, PR",0.9974
"cty72149","Villalba Municipio, PR",0.9972
"cty72133","Santa Isabel Municipio, PR",0.9971
"cty72087","Loiza Municipio, PR",0.997
"cty72059","Guayanilla Municipio, PR",0.997
"cty72043","Coamo Municipio, PR",0.9968
"cty72045","Comerio Municipio, PR",0.9966
"cty72105","Naranjito Municipio, PR",0.9965
"cty72107","Orocovis Municipio, PR",0.9965
"cty72054","Florida Municipio, PR",0.9964
"cty72007","Aguas Buenas Municipio, PR",0.9963
"cty72067","Hormigueros Municipio, PR",0.9963
"cty72109","Patillas Municipio, PR",0.9962
"cty72129","San Lorenzo Municipio, PR",0.9962
"cty72153","Yauco Municipio, PR",0.9962
"cty72001","Adjuntas Municipio, PR",0.996
"cty72121","Sabana Grande Municipio, PR",0.9958
"cty72041","Cidra Municipio, PR",0.9957
"cty72075","Juana Diaz Municipio, PR",0.9956
"cty72029","Canovanas Municipio, PR",0.9956
"cty72151","Yabucoa Municipio, PR",0.9956
"cty72101","Morovis Municipio, PR",0.9956
"cty72085","Las Piedras Municipio, PR",0.9955
"cty72047","Corozal Municipio, PR",0.9955
"cty72099","Moca Municipio, PR",0.9954
"cty72017","Barceloneta Municipio, PR",0.9952
"cty72135","Toa Alta Municipio, PR",0.9951
"cty72141","Utuado Municipio, PR",0.9951
"cty72123","Salinas Municipio, PR",0.9951
"cty72093","Maricao Municipio, PR",0.9951
"cty72077","Juncos Municipio, PR",0.995
"cty72027","Camuy Municipio, PR",0.995
"cty72035","Cayey Municipio, PR",0.9949
"cty72055","Guanica Municipio, PR",0.9949
"cty72003","Aguada Municipio, PR",0.9948
"cty72111","Penuelas Municipio, PR",0.9947
"cty72103","Naguabo Municipio, PR",0.9946
"cty72131","San Sebastian Municipio, PR",0.9946
"cty72009","Aibonito Municipio, PR",0.9946
"cty72063","Gurabo Municipio, PR",0.9944
"cty72083","Las Marias Municipio, PR",0.9944
"cty72115","Quebradillas Municipio, PR",0.9944
"cty72057","Guayama Municipio, PR",0.9944
"cty72145","Vega Baja Municipio, PR",0.9944
"cty72079","Lajas Municipio, PR",0.9943
"cty72019","Barranquitas Municipio, PR",0.9943
"cty72125","San German Municipio, PR",0.9941
"cty72025","Caguas Municipio, PR",0.994
"cty72033","Catano Municipio, PR",0.994
"cty72091","Manati Municipio, PR",0.9939
"cty72013","Arecibo Municipio, PR",0.9939
"cty72095","Maunabo Municipio, PR",0.9937
"cty72113","Ponce Municipio, PR",0.9937
"cty72011","Anasco Municipio, PR",0.9936
"cty72065","Hatillo Municipio, PR",0.9936
"cty72081","Lares Municipio, PR",0.9935
"cty72015","Arroyo Municipio, PR",0.9935
"cty72119","Rio Grande Municipio, PR",0.9932
"cty72137","Toa Baja Municipio, PR",0.9931
"cty72021","Bayamon Municipio, PR",0.9931
"cty72097","Mayaguez Municipio, PR",0.993
"cty72069","Humacao Municipio, PR",0.9926
"cty72139","Trujillo Alto Municipio, PR",0.9924
"cty72071","Isabela Municipio, PR",0.9924
"cty72023","Cabo Rojo Municipio, PR",0.9911
"cty72143","Vega Alta Municipio, PR",0.991
